estacion,mes,frecuencia_dias_precipitacion_gt_1mm,humedad_relativa_porcentaje,nubosidad_octavos,precipitacion_mm,temperatura,temperatura_maxima_c,temperatura_minima_c,provincia,region,latitud,longitud,altura,oaci,nro
base_orcadas,7,,87.33333333333333,6.2,,-9.4,-5.3,-14.1,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,8,,87.16666666666667,6.3,,-8.1,-4.1,-12.4,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,9,,87.0,6.6,,-5.6,-2.0,-9.8,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,10,,86.83333333333333,7.1,,-2.7,0.6,-6.0,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,11,,86.66666666666667,7.2,,-0.6,2.5,-3.2,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_orcadas,12,,86.5,7.3,,0.5,3.0,-1.7,ANTARTIDA,Antártida,-60.73333333333333,-44.73333333333333,12.0,SAYO,88968.0
base_san_martin,1,,71.2,6.3,,1.9,4.5,-0.5,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,2,,74.6,6.5,,1.0,3.5,-1.3,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,3,,74.46,6.4,,-0.8,1.7,-3.5,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,4,,74.32,6.1,,-2.9,-0.5,-5.5,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,5,,74.17999999999999,5.9,,-4.8,-2.0,-7.8,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,6,,74.03999999999999,5.2,,-8.9,-5.5,-13.0,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,7,,73.9,5.4,,-11.5,-7.3,-16.1,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,8,,73.76,5.8,,-11.2,-6.7,-16.3,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,9,,73.62,6.2,,-9.0,-4.8,-14.1,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,10,,73.48,6.5,,-5.3,-1.6,-9.6,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,11,,73.34,6.3,,-1.8,1.5,-5.4,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
base_san_martin,12,,73.2,6.2,,0.8,3.5,-2.0,ANTARTIDA,Antártida,-68.11666666666666,-67.1,7.0,SAYS,89066.0
bernardo_de_irigoyen_aero,1,11.9,77.6,5.3,207.1,22.9,28.1,19.0,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,2,11.0,78.6,5.2,189.1,22.6,27.6,18.8,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,3,10.1,77.9,4.8,181.0,21.7,26.9,17.9,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,4,7.7,77.7,4.5,173.9,19.6,24.4,15.9,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,5,8.6,79.0,4.7,196.1,16.2,20.6,12.9,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,6,8.6,79.8,4.8,185.5,15.2,19.3,11.9,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,7,7.8,74.5,4.4,135.2,14.9,19.6,11.2,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,8,6.5,67.4,4.0,106.4,16.9,22.1,12.8,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,9,9.1,70.4,4.4,198.1,18.0,23.3,13.8,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,10,12.0,75.3,5.0,277.9,19.8,25.0,15.6,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,11,8.9,72.1,4.7,194.8,21.0,26.3,16.5,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bernardo_de_irigoyen_aero,12,11.0,75.2,5.1,204.5,22.5,27.5,18.3,MISIONES,NEA,-26.266666666666666,-53.66666666666666,815.0,SATI,87163.0
bolivar_aero,1,7.0,68.5,3.3,113.8,22.3,29.6,15.0,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,2,6.0,73.8,3.4,106.0,21.0,28.3,14.1,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,3,6.5,77.2,3.3,133.0,18.8,26.1,12.3,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,4,6.9,78.5,3.6,106.7,14.8,22.0,9.2,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,5,4.6,81.8,4.1,58.7,11.4,17.8,6.2,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,6,3.8,81.2,4.2,37.8,8.3,14.6,3.1,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,7,3.9,79.8,4.2,35.4,7.3,13.8,2.0,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,8,3.5,75.0,3.9,41.2,9.4,16.6,3.6,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,9,5.1,72.9,3.9,68.2,11.8,18.8,5.6,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,10,8.0,73.7,4.1,118.9,15.2,21.7,8.9,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,11,7.5,69.0,3.6,94.8,18.4,25.3,11.4,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
bolivar_aero,12,7.2,66.0,3.3,103.6,21.2,28.6,13.7,BUENOS AIRES,Pampeana,-36.18333333333333,-61.06666666666667,94.0,SAZI,87640.0
buenos_aires_observatorio,1,7.5,64.6,3.2,134.4,24.9,30.1,20.2,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,2,6.8,69.1,3.2,129.3,23.8,28.9,19.4,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,3,6.7,72.0,3.2,120.0,22.0,27.0,17.7,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,4,7.1,75.6,3.6,130.3,18.2,23.2,14.1,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,5,5.2,78.7,4.1,93.5,14.8,19.4,11.1,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,6,4.9,78.2,4.3,61.5,12.0,16.4,8.4,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,7,5.6,77.0,4.2,74.4,11.0,15.5,7.5,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,8,4.9,72.6,4.0,70.3,13.0,17.9,8.9,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,9,5.8,69.5,3.9,80.6,14.9,19.7,10.6,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,10,7.9,69.4,4.0,122.9,17.9,22.6,13.4,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,11,7.2,65.3,3.6,117.6,20.9,26.0,16.1,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
buenos_aires_observatorio,12,6.9,62.8,3.2,122.8,23.6,29.0,18.5,CAPITAL FEDERAL,Pampeana,-34.583333333333336,-58.48333333333333,25.0,SABA,87585.0
catamarca_aero,1,7.0,55.0,3.5,80.9,27.8,34.5,21.9,CATAMARCA,NOA,-28.58333333333333,-65.75,464.0,SANC,87222.0
catamarca_aero,2,6.0,59.1,3.5,73.8,26.4,33.0,20.8,CATAMARCA,NOA,-28.58333333333333,-65.75,464.0,SANC,87222.0
catamarca_aero,3,5.1,62.5,3.3,50.1,24.6,31.3,19.2,CATAMARCA,NOA,-28.58333333333333,-65.75,464.0,SANC,87222.0
catamarca_aero,4,4.1,65.0,3.4,31.1,20.7,27.6,15.0,CATAMARCA,NOA,-28.58333333333333,-65.75,464.0,SANC,87222.0
catamarca_aero,5,2.2,66.5,3.5,12.7,16.2,23.4,10.3,CATAMARCA,NOA,-28.58333333333333,-65.75,464.0,SANC,87222.0
